gameId,player,positionGroupType,shirtNumber,team
27812,"{'id': '7310', 'nickname': 'Andrew Hughes'}",LCB,16,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '20928', 'nickname': 'Mads Frökjaer-Jensen'}",AM,10,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7578', 'nickname': 'Anel Ahmedhodzic'}",LCB,15,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '1959', 'nickname': 'Rhian Brewster'}",CF,7,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '7316', 'nickname': 'Brad Potts'}",RWB,44,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '20925', 'nickname': 'Kian Best'}",LB,33,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7632', 'nickname': 'Harrison Burrows'}",LB,14,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '24921', 'nickname': 'Sydie Peck'}",CM,42,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '25360', 'nickname': 'Stefán Teitur Thórdarson'}",CM,22,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7615', 'nickname': 'David Cornell'}",GK,13,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7702', 'nickname': ""Callum O'Hare""}",RM,10,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '5199', 'nickname': 'Ivo Grbic'}",GK,13,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '7313', 'nickname': 'Benjamin Whiteman'}",CM,4,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7651', 'nickname': 'Jordan Storey'}",RCB,14,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '8201', 'nickname': 'Oliver Arblaster'}",CM,4,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '8257', 'nickname': 'Harry Souttar'}",RCB,6,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '5161', 'nickname': 'Sam Greenwood'}",CM,20,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7599', 'nickname': 'Ryan Ledson'}",CM,18,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7696', 'nickname': 'Gustavo Hamer'}",CM,8,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '676', 'nickname': 'Auston Trusty'}",LCB,5,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '501', 'nickname': 'Robbie Brady'}",LWB,11,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '30498', 'nickname': 'Theo Mawene'}",M,31,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '13559', 'nickname': 'Andre Brooks'}",LM,35,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '9285', 'nickname': 'Ismaila Coulibaly'}",CM,29,"{'id': '15', 'name': 'Sheffield United'}"
27812,"{'id': '7318', 'nickname': 'Emil Riis'}",CF,9,"{'id': '223', 'name': 'Preston North End'}"
27812,"{'id': '7177', 'nickname': 'Duane Holmes'}",AM,25,"{'id': '223', 'name': 'Preston North End'}"
